year,make,model,trim,type,damage,price,odometer,lot,vin,date,location,state,source,auction,url
2020,Jeep,Grand Cher,Srt-8,Sc,Front End,0,87946 mi,75749015,,,Nc - Concord,NC,Rebrowser-Copart,COPART,
2016,Mazda,Cx-5,Touring,Sc,Front End,0,74430 mi,75176085,,,Nc - Concord,NC,Rebrowser-Copart,COPART,
2015,Mitsubishi,Mirage,Es,Dc,Front End,0,207366 mi,49334906,,2026-04-16,Nc - Concord,NC,Rebrowser-Copart,COPART,
2013,Jaguar,Xf,,Dc,Frame Damage,0,121996 mi,48212996,,2026-04-23,Nc - Concord,NC,Rebrowser-Copart,COPART,
2024,Subaru,Outback,Wilderness,Sc,Rear End,0,68749 mi,41728436,,,Nc - Concord,NC,Rebrowser-Copart,COPART,
2016,Porsche,Macan,S,St,Side,0,107618 mi,79528045,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2015,Jeep,Compass,Latitude,St,Front End,0,147354 mi,79368335,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2025,Lexus,Nx,Premium,St,Front End,0,8061 mi,78337835,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2017,Honda,Accord,Lx,Ct,Minor Dent/Scratches,0,111935 mi,77773295,,2026-04-14,Wholesale Auction,CT,Rebrowser-Copart,COPART,
2019,Ram,1500,Longhorn,St,Side,0,99901 mi,77650835,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2016,Mercedes-Benz,Glc-Class,300 4Matic,St,Front End,0,88116 mi,77314515,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2021,Chevrolet,All Models,K1500 Trail Boss Custom,St,Rear End,0,99096 mi,77106445,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2024,Polestar,2,,St,Side,0,15942 mi,76464905,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2019,Kia,Forte,S,Sc,Side,0,128684 mi,75051985,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2015,Mazda,Cx-9,Touring,Sc,Front End,0,112823 mi,72613175,,,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2015,Mitsubishi,Outlander,Se,Ct,Minor Dent/Scratches,0,142666 mi,49463816,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2015,Chrysler,200,C,Ct,Rear End,0,146965 mi,49469956,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2023,Hyundai,Kona,Sel,Ct,Minor Dent/Scratches,0,66414 mi,49464656,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2016,Ford,F150,,Ct,Front End,0,120231 mi,49471266,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2016,Kia,Rio,Lx,Ct,Side,0,126914 mi,49466476,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2019,Mercedes-Benz,Glc-Class,350E,Ct,Minor Dent/Scratches,0,99350 mi,49463186,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2015,Mercedes-Benz,S-Class,550 4Matic,Ct,Minor Dent/Scratches,0,99230 mi,49469556,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2015,Bmw,3 Series,Xi Sulev,Ct,Minor Dent/Scratches,0,227214 mi,49463526,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2019,Hyundai,Tucson,Se,Ct,Minor Dent/Scratches,0,104973 mi,49464146,,2026-04-17,Connecticut Friday Sale,CT,Rebrowser-Copart,COPART,
2017,Chevrolet,Equinox,Lt,Ct,Minor Dent/Scratches,0,149172 mi,49462676,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2020,Honda,Accord,Lx,Ct,Front End,0,75193 mi,49446046,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2013,Ram,3500,St,Ct,Minor Dent/Scratches,0,265939 mi,49445226,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2019,Porsche,Cayenne,,Ct,Minor Dent/Scratches,0,62277 mi,49444816,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2013,Hyundai,Veloster,Base,Ct,Minor Dent/Scratches,0,161419 mi,49445486,,2026-04-10,Connecticut Friday Sale,CT,Rebrowser-Copart,COPART,
2017,Mitsubishi,Outlander,Es,Ct,Front End,0,134685 mi,49443076,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2012,Ford,Explorer,Limited,Ct,Minor Dent/Scratches,0,142244 mi,49444586,,2026-04-09,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2020,Toyota,Camry,Le,Ct,Front End,0,252966 mi,49455136,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2019,Mercedes-Benz,Glc-Class,63 S 4Matic Amg,Ct,Minor Dent/Scratches,0,94250 mi,49444346,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2015,Mercedes-Benz,C-Class,400 4Matic,Ct,Minor Dent/Scratches,0,98599 mi,49443726,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2013,Bmw,3 Series,Xi Sulev,Ct,Front End,0,180331 mi,49442766,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2013,Niss,Sentra,S,Ct,Minor Dent/Scratches,0,114512 mi,49363236,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2018,Ford,Fusion,Se,Ct,Minor Dent/Scratches,0,255118 mi,49442686,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2018,Kia,Sportage,Sx,Ct,Minor Dent/Scratches,0,86092 mi,49367876,,2026-04-13,*Ncs - Eastern Region,CT,Rebrowser-Copart,COPART,
2019,Bmw Motorrad,5 Series,,Ct,Minor Dent/Scratches,0,117629 mi,49380156,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2016,Mitsubishi,Outlander,Se,Ct,Minor Dent/Scratches,0,181338 mi,49441596,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2014,Mazda,6,Grand Touring,Ct,Minor Dent/Scratches,0,177595 mi,49367996,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2014,Jeep,Cherokee,Laredo,Ct,Front End,0,239133 mi,49367926,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2017,Volkswagen,Passat,R-Line,Ct,Minor Dent/Scratches,0,346394 mi,49367796,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2014,Niss,Altima,2.5 Sv,Ct,Rear End,0,207315 mi,49363206,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2022,Mercedes-Benz,E-Class,Amg 53 4Matic,Ct,Minor Dent/Scratches,0,95252 mi,49340996,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2022,Bmw,X5,Xdrive45E,Ct,Minor Dent/Scratches,0,94852 mi,49341766,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2018,Porsche,Macan,Turbo,Ct,Minor Dent/Scratches,0,164614 mi,49187056,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2017,Chevrolet,Traverse,Lt,Ct,Minor Dent/Scratches,0,225154 mi,49187296,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2019,Ford,Escape,Se,Ct,Front End,0,103521 mi,49186926,,2026-04-09,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2023,Chevrolet,Trailblaze,Rs,Ct,Minor Dent/Scratches,0,207849 mi,49186756,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2019,Nissan,Rogue,Sv,Ct,Top/Roof,0,188401 mi,49144396,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2017,Nissan,Pathfinder,Sv,Rs,Side,0,111465 mi,49064416,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2013,Ford,Explorer,Limited,Ct,Minor Dent/Scratches,0,124259 mi,49065566,,2026-04-13,*Ncs - Eastern Region,CT,Rebrowser-Copart,COPART,
2016,Nissan,Pathfinder,S,Ct,Minor Dent/Scratches,0,179139 mi,49064936,,2026-04-20,*Ncs - Eastern Region,CT,Rebrowser-Copart,COPART,
2013,Toyota,4Runner,Sr5,Ct,Side,0,229717 mi,49066086,,2026-04-09,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2016,Nissan,Versa,S Plus,Ct,Minor Dent/Scratches,0,163814 mi,49065106,,2026-04-09,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2016,Ford,Fusion,Se,Ct,Front End,0,159379 mi,49064766,,2026-04-20,*Ncs - Eastern Region,CT,Rebrowser-Copart,COPART,
2025,Ford,Transit,T-250,Ct,Side,0,2512 mi,48998136,,2026-04-20,Medium Duty Clean Title Sale,CT,Rebrowser-Copart,COPART,
2025,Ford,Transit,T-250,Sc,Top/Roof,0,5563 mi,48997726,,2026-04-15,Medium Duty Specialty Sale,CT,Rebrowser-Copart,COPART,
2018,Nissan,Altima,2.5 Sv,St,All Over,0,89976 mi,48641516,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2018,Nissan,Pathfinder,Sv,Ct,Minor Dent/Scratches,0,243711 mi,48637516,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2019,Honda,Civic,Lx,Ct,Front End,0,326574 mi,48637376,,2026-04-20,*Ncs - Eastern Region,CT,Rebrowser-Copart,COPART,
2016,Ford,Taurus,Sel,Ct,Minor Dent/Scratches,0,107943 mi,48637836,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2023,Honda,Accord,Hybrid Exl,Ct,Minor Dent/Scratches,0,201982 mi,48636386,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2012,Nissan,Frontier,S,St,Side,0,158146 mi,48512356,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2019,Subaru,Ascent,Premium,Ct,Minor Dent/Scratches,0,127232 mi,48458906,,2026-04-20,*Ncs - Eastern Region,CT,Rebrowser-Copart,COPART,
2017,Chevrolet,Traverse,Lt,Ct,Minor Dent/Scratches,0,174297 mi,48459146,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2015,Volvo,S60,Premier+,Ct,Minor Dent/Scratches,0,124351 mi,48346956,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2015,Honda,Pilot,Lx,St,Rear End,0,129825 mi,48263626,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2015,Volvo,S60,Premier,St,Front End,0,79258 mi,48132076,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2019,Nissan,Pathfinder,Sv,Sc,Rear End,0,96573 mi,48089566,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2023,Volkswagen,Jetta,S,St,Front End,0,52759 mi,47974256,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2015,Subaru,Forester,2.5I,St,Side,0,53373 mi,47634656,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2024,Mini,Cooper,S Countryman All4,St,Side,0,24626 mi,47623896,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2015,Jeep,Cherokee,Laredo,St,Front End,0,112402 mi,47365156,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2018,Nissan,Rogue,Sv,St,Front End,0,87284 mi,46999326,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2015,Honda,Civic,Si,St,Front End,0,0 mi,46468216,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2025,Volv,Xc90,,St,Side,0,2755 mi,45852446,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2016,Ford,Escape,Se,St,Front End,0,94517 mi,45835906,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2022,Toyota,Prius Le A,Le Awd-E,St,Front End,0,104684 mi,45721236,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2014,Acura,Ilx,20 Tech,St,Frame Damage,0,157193 mi,41958666,,2026-04-23,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2015,Subaru,Impreza,,St,Rear End,0,27651 mi,41739156,,2026-04-16,Ct - Hartford Springfield,CT,Rebrowser-Copart,COPART,
2023,Hyundai,Elantra,Se,Cd,Front End,0,31718 mi,79824165,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2025,Hyundai,Elantra,Sel Sport,Cd,Rear End,0,9072 mi,79911305,,2026-04-28,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2023,Acura,Integra,A-Spec Tech,Rb,Front End,0,36028 mi,79614825,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2015,Ford,Mustang,Gt,Rb,Front End,0,67604 mi,79435245,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2017,Gmc,Sierra,K1500 Denali,Rb,Side,0,168483 mi,78820985,,2026-04-21,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2022,Toyota,Sienna,Xle 8-Passenger,Cd,Rollover,0,146191 mi,78811765,,2026-04-21,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2019,Nissan,Rogue,Sv,Rb,Rear End,0,81284 mi,78699565,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2018,Toyota,Rav4,Adventure,Rb,Front End,0,191725 mi,78651625,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2021,Chevrolet,Equinox,Ls,Rb,Front End,0,29654 mi,78034875,,2026-04-14,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2017,Volkswagen,Jetta,S,Rb,Rear End,0,86063 mi,78496985,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2014,Cadillac,Ats,Luxury,Rb,Front End,0,90469 mi,77856405,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2025,Toyota,Corolla,Le,Cd,Rear End,0,4578 mi,77664135,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2019,Hyundai,Kona,Sel,Rb,Rear End,0,45841 mi,77283335,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2016,Dodge,Charger,R,Rb,Front End,0,61717 mi,77112385,,2026-04-21,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2023,Hyundai,Santa Fe,Sel Premium,Cd,Side,0,27568 mi,77096405,,2026-04-14,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2017,Honda,Accord,Hybrid Exl,Rb,Undercarriage,0,93440 mi,73842965,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2017,Nissan,Sentra,S,Rb,Side,0,200118 mi,74630925,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2017,Lincoln,Mkz,Reserve,Rb,Front End,0,174615 mi,73288075,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2022,Ford,Bronco,Big Bend,Cd,Front End,0,57583 mi,72568645,,2026-04-14,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2020,Ford,Explorer,Limited,Cd,Side,0,85803 mi,72326505,,2026-04-21,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2021,Nissan,Rogue,Sv,Cd,Rear End,0,17329 mi,49177896,,2026-04-14,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2019,Buick,Encore,Preferred,Rb,Front End,0,0 mi,49066876,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2019,Ford,F150,Supercrew,Rb,Front End,0,64863 mi,48589486,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2019,Dodge,Caravan,Sxt,Rb,Front End,0,0 mi,48423096,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2019,Lincoln,Nautilus,Reserve,Rb,Front End,0,36176 mi,48268156,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2013,Honda,Crv,Lx,Rb,Rear End,0,78339 mi,48081536,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2014,Toyota,Corolla,S Plus,Rr,Front End,0,210449 mi,47923896,,2026-04-14,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2024,Toyota,Corolla,Se,Cd,Front End,0,44572 mi,47466586,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2014,Nissan,Altima,2.5,Rb,Side,0,171698 mi,47497096,,2026-04-14,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2022,Toyota,Corolla,Se,Rb,Front End,0,90360 mi,46725316,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2014,Ford,Fusion,Se,Rb,Front End,0,165201 mi,46474746,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2019,Ford,F150,Supercrew,Rb,Front End,0,127451 mi,45657246,,2026-04-14,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2023,Tesla,Model 3,,Rb,Front End,0,32051 mi,45797796,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2026,Honda,Hr-V,Exl,Cd,Front End,0,7822 mi,45761886,,2026-04-28,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2025,Hyundai,Elantra,Se,Cd,Front End,0,9917 mi,42080246,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2021,Alfa Romeo,Stelvio,Sport,Rb,Side,0,58292 mi,41779766,,2026-04-28,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2026,Ram,1500,Big Horn,Rb,Rear End,0,386 mi,41618356,,2026-04-17,Fl - Punta Gorda,FL,Rebrowser-Copart,COPART,
2018,Volkswagen,Gti,S,Bs,Front End,0,78907 mi,95504255,,2026-04-16,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2022,Honda,Passport,,St,Front End,0,92358 mi,79730585,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2016,Honda,Pilot,Exl,St,Front End,0,164576 mi,79781275,,2026-04-23,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2023,Suzuki,Dirtbike,Sm,St,Vandalism,0,0 mi,79162275,,,Crashedtoys Powersport Auction,KY,Rebrowser-Copart,COPART,
2013,Chrysler,200,Touring,St,Front End,0,0 mi,79059875,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2014,Toyota,Corolla,S Plus,St,Rear End,0,142443 mi,79070365,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2015,Kia,Rio,Lx,St,Front End,0,0 mi,79036565,,2026-04-23,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2016,Nissan,Maxima,Platinum,St,Front End,0,75921 mi,78742685,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2017,Hyundai,Elantra Gt,Base,Sc,Front End,0,102032 mi,78512415,,2026-04-23,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2018,Chevrolet,All Models,K1500 Lt,St,Front End,0,190834 mi,78545385,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2021,Kia,Forte,Lxs,Rb,Front End,0,92093 mi,78208645,,2026-04-16,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2013,Toyota,Rav4,Xle,St,Front End,0,136741 mi,78063275,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2022,Gmc,Sierra,K2500 Sle,St,Front End,0,55474 mi,77362135,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2025,Gmc,Sierra,K1500 At4,St,Front End,0,10712 mi,76732585,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2012,Infiniti,G37,,St,Front End,0,154344 mi,74662235,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2024,Fiat,500 E Red,E Red,St,Front End,0,19103 mi,74394375,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2015,Chevrolet,Tahoe,K1500 Ltz,St,Front End,0,169889 mi,73673485,,2026-04-30,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2023,Honda,Civic,Sport,St,Front End,0,73109 mi,73684405,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2021,Toyota,Corolla,Le,Bs,All Over,0,0 mi,55269845,,2026-04-16,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2012,Ford,Escape,Xlt,St,Front End,0,208496 mi,48748926,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2018,Ram,1500,Laramie,St,Front End,0,141250 mi,48252696,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2015,Hyundai,Elantra,Limited,St,Side,0,132306 mi,48178026,,2026-04-23,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2017,Honda,Hr-V,Lx,Ct,Minor Dent/Scratches,0,106035 mi,48090146,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2014,Chevrolet,All Models,K1500 Lt,St,Front End,0,241573 mi,48229916,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2020,Toyota,Rav4,Xse,St,Front End,0,90590 mi,47707136,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2018,Honda,Crv,Exl,St,Front End,0,118713 mi,47665336,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2017,Honda,Sidebyside,,Sw,Water/Flood,0,6050 mi,47382196,,,Crashedtoys Powersport Auction,KY,Rebrowser-Copart,COPART,
2020,Gmc,Canyon,Sle,St,Front End,0,123488 mi,46753756,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2025,Nissan,Frontier,Pro-4X,St,Front End,0,13394 mi,45848356,,2026-04-16,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2023,Chevrolet,Malibu,Lt,St,Front End,0,54426 mi,45625636,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2017,Kia,Soul,,St,Front End,0,110846 mi,41943666,,,Ky - Earlington,KY,Rebrowser-Copart,COPART,
2020,Lincoln,Aviator,Reserve,Sc,Front End,0,0 mi,98417845,,2026-04-13,Ny - Buffalo,NY,Rebrowser-Copart,COPART,
2020,Lincoln,Aviator,,Sm,Rear End,0,87500 mi,99780365,,2026-04-13,Ny - Buffalo,NY,Rebrowser-Copart,COPART,
2019,Ram,1500,Big Horn/Lone Star,Sc,Front End,0,121139 mi,95140305,,2026-04-13,Ny - Buffalo,NY,Rebrowser-Copart,COPART,
2013,Toyota,Camry,Xle,St,Rear End,0,133267 mi,90042925,,,Ny - Buffalo,NY,Rebrowser-Copart,COPART,
2017,Ram,1500,St,Sm,Front End,0,0 mi,75829895,,2026-04-13,Ny - Buffalo,NY,Rebrowser-Copart,COPART,
2024,Dodge,All Other,R,Ct,Front End,0,0 mi,75427105,,2026-04-13,Rental Vehicle Sale,NY,Rebrowser-Copart,COPART,
2022,Toyota,Tacoma,Double Cab,Sm,Side,0,75896 mi,73199445,,2026-04-13,Ny - Buffalo,NY,Rebrowser-Copart,COPART,
2022,Cadillac,Escalade,Esv Premium Luxury,St,Front End,0,0 mi,57038525,,,Ny - Buffalo,NY,Rebrowser-Copart,COPART,
2021,Toyota,Highlander,Xle,St,Vandalism,0,45884 mi,68082955,,2026-04-20,Ny - Buffalo,NY,Rebrowser-Copart,COPART,
2021,Volkswagen,Atlas,Se,Sm,Hail,0,49018 mi,49113386,,2026-04-13,Ny - Buffalo,NY,Rebrowser-Copart,COPART,
2018,Subaru,Impreza,,Sc,Front End,0,120725 mi,50578415,,2026-04-13,Ny - Buffalo,NY,Rebrowser-Copart,COPART,
2019,Ford,Explorer,Xlt,Sm,Hail,0,80322 mi,48746996,,2026-04-13,Ny - Buffalo,NY,Rebrowser-Copart,COPART,
2014,Honda,Crv,Lx,Sm,Front End,0,184128 mi,48742786,,2026-04-13,Ny - Buffalo,NY,Rebrowser-Copart,COPART,
2025,Toyota,Camry,Se,Ct,Front End,0,25616 mi,48591826,,2026-04-13,Rental Vehicle Sale,NY,Rebrowser-Copart,COPART,
2026,Ford,Explorer,St-Line,Ct,Rear End,0,3815 mi,48603686,,2026-04-13,Rental Vehicle Sale,NY,Rebrowser-Copart,COPART,
2013,Hyundai,Veloster,Turbo,Sm,Front End,0,113678 mi,48328816,,2026-04-13,Ny - Buffalo,NY,Rebrowser-Copart,COPART,
2025,Jeep,Compass,Limited,Ct,Front End,0,32995 mi,48427016,,2026-04-13,Rental Vehicle Sale,NY,Rebrowser-Copart,COPART,
2025,Mazda,Cx-5 Prefe,Preferred,Ct,Front End,0,14523 mi,48483296,,2026-04-13,Rental Vehicle Sale,NY,Rebrowser-Copart,COPART,
2019,Infiniti,Qx60,Luxe,Sm,Front End,0,239340 mi,48500056,,2026-04-13,Ny - Buffalo,NY,Rebrowser-Copart,COPART,
2012,Volkswagen,Jetta,Se,Sm,Side,0,178012 mi,48125026,,2026-04-13,Ny - Buffalo,NY,Rebrowser-Copart,COPART,
2014,Chevrolet,All Models,K1500 Ltz,Sc,Rear End,0,127686 mi,46625996,,2026-04-13,Ny - Buffalo,NY,Rebrowser-Copart,COPART,
2019,Gmc,Sierra,K1500,Sm,Side,0,140027 mi,45751886,,2026-04-20,Ny - Buffalo,NY,Rebrowser-Copart,COPART,
2014,Subaru,Impreza,,Sm,Side,0,45280 mi,45540416,,2026-04-13,Ny - Buffalo,NY,Rebrowser-Copart,COPART,
2012,Kia,Sportage,Lx,Sc,Front End,0,177037 mi,45822016,,2026-04-13,Ny - Buffalo,NY,Rebrowser-Copart,COPART,
2016,Volvo,S60,Premier,S1,Rear End,0,95797 mi,99930455,,2026-04-09,Md - Baltimore East,MD,Rebrowser-Copart,COPART,
2021,Acura,Ilx,Premium,S1,Front End,0,0 mi,99815715,,,Md - Baltimore East,MD,Rebrowser-Copart,COPART,
2015,Nissan,Versa,S,S1,Rear End,0,159053 mi,99851125,,,Md - Baltimore East,MD,Rebrowser-Copart,COPART,
2023,Kia,Forte,Lx,S1,Front End,0,63764 mi,99568765,,,Md - Baltimore East,MD,Rebrowser-Copart,COPART,
2017,Volkswagen,Golf,S,S1,Rear End,0,90420 mi,99073665,,,Md - Baltimore East,MD,Rebrowser-Copart,COPART,
2016,Honda,Civic,Ex,S1,Rear End,0,160416 mi,98875335,,2026-04-21,Md - Baltimore East,MD,Rebrowser-Copart,COPART,
2018,Ford,Fusion,Se Hybrid,S1,Front End,0,131598 mi,99004025,,,Md - Baltimore East,MD,Rebrowser-Copart,COPART,
2025,Toyota,Corolla,Se,S1,Front End,0,28252 mi,98339415,,2026-04-09,Md - Baltimore East,MD,Rebrowser-Copart,COPART,
2022,Toyota,Tacoma,Double Cab,S1,Front End,0,56871 mi,98419395,,,Md - Baltimore East,MD,Rebrowser-Copart,COPART,
