year,make,model,trim,type,damage,price,odometer,lot,vin,date,location,state,source,auction,url
2020,Subaru,Wrx,Premium,Sc,Rear End,0,37040 mi,97982505,[PREMIUM],,Ca - Redding,CA,,,[PREMIUM]
2025,Mazda,Cx30,Premium,Sc,Front End,0,17184 mi,48173946,[PREMIUM],2026-04-17,Ca - Redding,CA,,,[PREMIUM]
2018,Buick,Encore,Preferred,Dv,Minor Dent/Scratches,0,69564 mi,47770496,[PREMIUM],2026-04-10,Ca - Redding,CA,,,[PREMIUM]
2016,Ford,Edge,Sel,Sh,Front End,0,143299 mi,47025486,[PREMIUM],2026-04-10,Ca - Redding,CA,,,[PREMIUM]
2016,Toyota,Tacoma,Trd Sport,Sc,Front End,0,44394 mi,46500396,[PREMIUM],,Ca - Redding,CA,,,[PREMIUM]
2018,Nissan,Sentra,Sv,Sc,Front End,0,100770 mi,79946555,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2022,Subaru,Crosstrek,Limited,Sc,Rollover,0,126441 mi,79641655,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2018,Cadillac,Xt5,Luxury,Sc,Front End,0,68344 mi,48174306,[PREMIUM],2026-04-22,Ca - Mentone,CA,,,[PREMIUM]
2016,Hyundai,Sonata,Limited,Sc,Side,0,119281 mi,46052086,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2020,Hyundai,Veloster,Turbo R-Spec,Sc,Side,0,138182 mi,45801346,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2017,Honda,Civic,Lx,Sc,Front End,0,112782 mi,46360676,[PREMIUM],2026-04-08,Ca - Mentone,CA,,,[PREMIUM]
2023,Lexus,Es300,Base,Sc,Front End,0,45162 mi,95020715,[PREMIUM],2026-04-13,Ca - Adelanto,CA,,,[PREMIUM]
2019,Subaru,Wrx,Sti Limited,Sc,Front End,0,0 mi,72282195,[PREMIUM],2026-04-13,Ca - Adelanto,CA,,,[PREMIUM]
2018,Polaris,Rzrxp41000,,Sc,Rear End,0,1379 mi,72874875,[PREMIUM],2026-04-23,Crashedtoys Powersport Auction,CA,,,[PREMIUM]
2023,Kia,Forte,Lxs,Sc,Rear End,0,42017 mi,45457396,[PREMIUM],2026-04-13,Ca - Adelanto,CA,,,[PREMIUM]
2020,Toyota,Highlander,Hybrid Limited,Sc,Side,0,254717 mi,95519675,[PREMIUM],2026-04-09,Ca - Napa,CA,,,[PREMIUM]
2025,Tesla,Model Y,,Sc,Rear End,0,3569 mi,84231255,[PREMIUM],2026-04-09,Ca - Napa,CA,,,[PREMIUM]
2024,Bmw,All Other,Edrive 35,Sc,Rear End,0,22983 mi,78649075,[PREMIUM],2026-04-09,Ca - Napa,CA,,,[PREMIUM]
2017,Toyota,Corolla,Le,Sc,Rear End,0,73079 mi,77733415,[PREMIUM],2026-04-09,Ca - Napa,CA,,,[PREMIUM]
2018,Chevrolet,Tahoe,K1500 Lt,Sc,Front End,0,54476 mi,46359366,[PREMIUM],2026-04-16,Ca - Napa,CA,,,[PREMIUM]
2024,Lexus,Rc350,F Sport,Sc,Rear End,0,9365 mi,78867705,[PREMIUM],2026-04-10,Ca - Long Beach,CA,,,[PREMIUM]
2025,Honda,Passport,Trail Sport,Sc,Rear End,0,22384 mi,78225435,[PREMIUM],2026-04-10,Ca - Long Beach,CA,,,[PREMIUM]
2019,Subaru,Crosstrek,Premium,Sc,Side,0,32019 mi,77812055,[PREMIUM],2026-04-10,Ca - Long Beach,CA,,,[PREMIUM]
2019,Hyundai,Ioniq,Blue,Sc,Rear End,0,194198 mi,76216655,[PREMIUM],2026-04-22,Ca - Long Beach,CA,,,[PREMIUM]
2019,Kia,Optima,Lx,Sc,Vandalism,0,0 mi,74837325,[PREMIUM],2026-04-08,Ca - Long Beach,CA,,,[PREMIUM]
2017,Jaguar,Xe,,Sc,Front End,0,102998 mi,47028756,[PREMIUM],2026-04-10,Ca - Long Beach,CA,,,[PREMIUM]
2016,Chrysler,200,Limited,Sc,Front End,0,141445 mi,46235186,[PREMIUM],2026-04-08,Ca - Long Beach,CA,,,[PREMIUM]
2024,Toyota,Tundra,Crewmax Limited,Sc,Vandalism,0,38581 mi,74137395,[PREMIUM],2026-04-13,Ca - Sun Valley,CA,,,[PREMIUM]
2016,Lexus,Es300,,Ct,Minor Dent/Scratches,0,100919 mi,72364205,[PREMIUM],,Ca - Sun Valley,CA,,,[PREMIUM]
2023,Honda,Civic,Si,Sc,Front End,0,75176 mi,47786406,[PREMIUM],2026-04-13,Ca - Sun Valley,CA,,,[PREMIUM]
