vin,year,make,model,trim,type,damage,price,odometer,lot,date,location,state,source,repair_cost,url,matched_url,price_source
[PREMIUM],2018,Mini,Cooper,CLUBMAN,SC,Front End,0,85281,41582696,2026-04-15,CA - MENTONE,CA,,8894.0,[PREMIUM],,
[PREMIUM],2020,Subaru,Wrx,PREMIUM,SC,Rear End,0,37040,97982505,,CA - REDDING,CA,,15722.0,[PREMIUM],,
[PREMIUM],2025,Mazda,Cx30,PREMIUM,SC,Front End,0,17184,48173946,2026-04-17,CA - REDDING,CA,,27787.0,[PREMIUM],,
[PREMIUM],2018,Buick,Encore,PREFERRED,DV,Minor Dent/Scratches,0,69564,47770496,2026-04-10,CA - REDDING,CA,,0.0,[PREMIUM],,
[PREMIUM],2016,Ford,Edge,SEL,SH,Front End,0,143299,47025486,2026-04-10,CA - REDDING,CA,,6428.0,[PREMIUM],,
[PREMIUM],2016,Toyota,Tacoma,TRD SPORT,SC,Front End,0,44394,46500396,,CA - REDDING,CA,,29300.0,[PREMIUM],,
[PREMIUM],2018,Nissan,Sentra,SV,SC,Front End,0,100770,79946555,2026-04-15,CA - MENTONE,CA,,7935.0,[PREMIUM],,
[PREMIUM],2022,Subaru,Crosstrek,LIMITED,SC,Rollover,0,126441,79641655,2026-04-15,CA - MENTONE,CA,,36570.0,[PREMIUM],,
[PREMIUM],2018,Cadillac,Xt5,LUXURY,SC,Front End,0,68344,48174306,2026-04-22,CA - MENTONE,CA,,15397.0,[PREMIUM],,
[PREMIUM],2016,Hyundai,Sonata,LIMITED,SC,Side,0,119281,46052086,2026-04-15,CA - MENTONE,CA,,9708.0,[PREMIUM],,
[PREMIUM],2020,Hyundai,Veloster,TURBO R-SPEC,SC,Side,0,138182,45801346,2026-04-15,CA - MENTONE,CA,,12201.0,[PREMIUM],,
[PREMIUM],2017,Honda,Civic,LX,SC,Front End,0,112782,46360676,2026-04-08,CA - MENTONE,CA,,12513.0,[PREMIUM],,
[PREMIUM],2023,Lexus,Es300,BASE,SC,Front End,0,45162,95020715,2026-04-13,CA - ADELANTO,CA,,25735.0,[PREMIUM],,
[PREMIUM],2019,Subaru,Wrx,STI LIMITED,SC,Front End,0,0,72282195,2026-04-13,CA - ADELANTO,CA,,31628.0,[PREMIUM],,
[PREMIUM],2018,Polaris,Rzrxp41000,,SC,Rear End,0,1379,72874875,2026-04-23,CRASHEDTOYS POWERSPORT AUCTION,CA,,9720.0,[PREMIUM],,
[PREMIUM],2023,Kia,Forte,LXS,SC,Rear End,0,42017,45457396,2026-04-13,CA - ADELANTO,CA,,13264.0,[PREMIUM],,
[PREMIUM],2020,Toyota,Highlander,HYBRID LIMITED,SC,Side,0,254717,95519675,2026-04-09,CA - NAPA,CA,,18347.0,[PREMIUM],,
[PREMIUM],2025,Tesla,Model Y,,SC,Rear End,0,3569,84231255,2026-04-09,CA - NAPA,CA,,33000.0,[PREMIUM],,
[PREMIUM],2024,Bmw,All Other,EDRIVE 35,SC,Rear End,0,22983,78649075,2026-04-09,CA - NAPA,CA,,29930.0,[PREMIUM],,
